City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,90,US,1633023610,94,19.7297,-155.09,73.8,6.91
Bredasdorp,64,ZA,1633023856,77,-34.5322,20.0403,60.12,12.66
Hamilton,75,US,1633023820,48,39.1834,-84.5333,79.23,1.01
Caravelas,25,BR,1633023789,60,-17.7125,-39.2481,82.02,10.98
Ostrovnoy,75,RU,1633023891,87,68.0531,39.5131,43.07,3.06
Beringovskiy,100,RU,1633023892,87,63.05,179.3167,33.75,22.86
New Norfolk,100,AU,1633023892,72,-42.7826,147.0587,53.74,1.01
Busselton,29,AU,1633023616,88,-33.65,115.3333,60.04,15.1
Teknāf,15,BD,1633023893,88,20.8624,92.3058,78.89,4.88
Iskateley,100,RU,1633023893,78,67.6803,53.1512,34.84,5.66
Carnarvon,34,AU,1633023893,88,-24.8667,113.6333,69.87,6.91
Hermanus,21,ZA,1633023894,89,-34.4187,19.2345,64.9,13.89
Vaini,90,TO,1633023894,94,-21.2,-175.2,68.16,4.61
Albany,59,US,1633023762,66,42.6001,-73.9662,59.74,7.65
Mataura,100,NZ,1633023895,89,-46.1927,168.8643,47.48,4.23
Butaritari,99,KI,1633023895,74,3.0707,172.7902,81.73,12.08
Casper,1,US,1633023895,69,42.8666,-106.3131,51.73,3.0
Agadez,78,NE,1633023896,10,19.75,10.25,87.75,8.05
Barrow,90,US,1633023759,74,71.2906,-156.7887,28.42,8.05
Bom Jardim,60,BR,1633023896,44,-7.7958,-35.5872,89.94,14.7
Urubichá,19,BO,1633023897,23,-15.3833,-62.95,102.83,7.18
Quesnel,1,CA,1633023897,54,52.9999,-122.5029,57.7,12.66
Arraial do Cabo,20,BR,1633023668,78,-22.9661,-42.0278,76.96,16.11
Clyde River,100,CA,1633023898,68,70.4692,-68.5914,36.73,6.64
Airai,36,TL,1633023736,69,-8.9266,125.4092,58.75,2.42
Coffs Harbour,100,AU,1633023898,92,-30.3,153.1333,65.14,5.75
Chern',15,RU,1633023899,78,53.4523,36.9145,43.05,5.61
Kaitangata,93,NZ,1633023899,66,-46.2817,169.8464,50.94,11.79
Monroe,75,US,1633023890,72,43.1501,-77.6831,61.05,8.05
Mahébourg,40,MU,1633023672,78,-20.4081,57.7,72.25,13.8
Ushuaia,40,AR,1633023900,49,-54.8,-68.3,46.02,10.36
Strezhevoy,87,RU,1633023901,74,60.7333,77.5889,35.58,6.33
Tamandaré,44,BR,1633023901,78,-8.7597,-35.1047,78.89,8.95
Rikitea,46,PF,1633023856,68,-23.1203,-134.9692,72.68,21.52
Sioux Lookout,75,CA,1633023902,60,50.1001,-91.917,73.47,5.75
Ancud,66,CL,1633023904,51,-41.8697,-73.8203,51.33,10.2
Hong Kong,1,HK,1633023864,86,22.2855,114.1577,86.38,1.01
Atuona,34,PF,1633023905,71,-9.8,-139.0333,78.1,20.58
Mocuba,6,MZ,1633023906,76,-16.8392,36.9856,74.52,6.6
Bluff,90,NZ,1633023906,82,-46.6,168.3333,47.8,20.74
‘Ewa Beach,1,US,1633023906,75,21.3156,-158.0072,77.09,8.01
Margate,100,GB,1633023907,75,51.3813,1.3862,61.3,5.01
Nantucket,90,US,1633023907,65,41.2835,-70.0995,62.96,13.8
Taoudenni,33,ML,1633023908,9,22.6783,-3.9836,103.06,12.8
Lázaro Cárdenas,95,MX,1633023640,70,17.9583,-102.2,84.6,4.14
Codrington,100,AU,1633023734,94,-38.2667,141.9667,54.93,18.54
Ziarat,25,PK,1633023908,71,30.3823,67.7282,61.77,3.11
Cape Town,0,ZA,1633023630,60,-33.9258,18.4232,66.61,12.66
Plastun,1,RU,1633023909,73,44.7561,136.2939,49.24,5.66
Ahipara,87,NZ,1633023684,82,-35.1667,173.1667,55.04,8.1
Walvis Bay,15,NA,1633023910,72,-22.9575,14.5053,59.95,16.11
Port Hedland,5,AU,1633023910,100,-20.3167,118.5667,62.65,3.44
Benicarló,27,ES,1633023911,75,40.4165,0.4271,71.56,5.01
Imbituba,76,BR,1633023911,72,-28.24,-48.6703,66.09,14.32
Henties Bay,58,NA,1633023911,87,-22.116,14.2845,57.85,11.01
Atar,1,MR,1633023912,8,20.5169,-13.0499,103.8,11.88
Sheregesh,100,RU,1633023912,97,52.9209,87.9869,39.43,1.41
Tuktoyaktuk,75,CA,1633023912,86,69.4541,-133.0374,28.4,11.5
Jamestown,90,US,1633023695,73,42.097,-79.2353,58.51,3.0
Hobart,90,AU,1633023680,95,-42.8794,147.3294,54.1,1.99
Saint-Philippe,42,RE,1633023913,80,-21.3585,55.7679,74.79,12.26
Banda Aceh,100,ID,1633023914,85,5.5577,95.3222,78.66,10.31
Murayama,100,JP,1633023914,91,38.5193,140.3346,65.52,0.94
Dali,5,CN,1633023915,90,25.7,100.1833,60.39,2.44
Punta Arenas,75,CL,1633023886,49,-53.15,-70.9167,46.42,24.16
Lac du Bonnet,80,CA,1633023710,51,50.2536,-96.0612,74.12,6.38
Severo-Kuril'sk,100,RU,1633023916,94,50.6789,156.125,47.34,19.19
George Town,40,MY,1633023916,92,5.4112,100.3354,82.33,0.0
Dodge City,90,US,1633023916,79,37.7528,-100.0171,62.26,10.0
Humacao,9,PR,1633023858,75,18.1497,-65.8274,92.84,7.0
San Policarpo,84,PH,1633023917,87,12.1791,125.5072,78.44,4.68
Longyearbyen,40,SJ,1633023649,93,78.2186,15.6401,31.84,5.75
Port Alfred,100,ZA,1633023918,90,-33.5906,26.891,65.68,19.42
Okha,100,RU,1633023918,93,53.5739,142.9478,49.87,1.5
Grindavik,0,IS,1633023919,70,63.8424,-22.4338,45.07,21.85
Bogatynia,55,PL,1633023919,82,50.9075,14.9563,51.73,1.99
Krasnosel'kup,100,RU,1633023919,99,65.7,82.4667,32.59,6.82
Mar del Plata,90,AR,1633023920,63,-38.0023,-57.5575,59.88,5.01
Chalisgaon,100,IN,1633023920,81,20.4667,75.0167,78.64,2.77
Rome,90,US,1633023844,65,43.2128,-75.4557,59.86,5.75
Toledo,26,ES,1633023774,44,39.8333,-4.0,77.31,4.59
Coolum Beach,98,AU,1633023921,91,-26.5333,153.1,65.1,10.42
Luba,99,GQ,1633023921,83,3.4568,8.5547,80.49,6.49
East London,75,ZA,1633023922,94,-33.0153,27.9116,65.34,11.5
Augsburg,0,DE,1633023732,83,48.3667,10.8833,52.86,5.75
Upernavik,100,GL,1633023922,77,72.7868,-56.1549,32.7,10.22
Belaya Gora,8,RU,1633023923,80,68.5333,146.4167,20.62,10.16
Rovaniemi,90,FI,1633023923,100,66.5,25.7167,44.01,3.44
Esperance,4,AU,1633023924,88,-33.8667,121.9,57.04,6.67
Port Elizabeth,90,ZA,1633023924,100,-33.918,25.5701,62.1,16.11
Tongchuanshi,13,CN,1633023924,77,35.0806,109.0897,67.57,3.33
Westport,75,US,1633023925,58,41.1415,-73.3579,66.06,1.01
Hwange,12,ZW,1633023925,28,-18.3693,26.5019,84.7,7.56
Otradnoye,3,RU,1633023925,85,59.7775,30.8181,45.95,4.59
Necochea,100,AR,1633023926,92,-38.5473,-58.7368,59.04,4.79
Baykit,85,RU,1633023926,91,61.67,96.37,31.66,2.59
Carndonagh,89,IE,1633023927,90,55.25,-7.2667,55.02,6.93
Oranjestad,40,AW,1633023927,78,12.524,-70.027,85.95,1.01
Saint Paul Harbor,90,US,1633023689,76,57.79,-152.4072,45.91,12.66
Amahai,99,ID,1633023927,90,-3.3333,128.9167,77.14,4.74
Leningradskiy,100,RU,1633023928,94,69.3833,178.4167,23.95,14.5
Kharsia,99,IN,1633023928,90,21.9667,83.1167,76.41,3.56
Monrovia,63,LR,1633023929,77,6.3005,-10.7969,85.77,7.4
Cabo San Lucas,2,MX,1633023786,65,22.8909,-109.9124,89.62,2.98
San Quintín,0,MX,1633023929,64,30.4833,-115.95,71.96,7.07
Saint-Pierre,90,RE,1633023930,72,-21.3393,55.4781,74.88,2.3
Ketchikan,90,US,1633023930,93,55.3422,-131.6461,48.67,6.91
Chokurdakh,29,RU,1633023931,92,70.6333,147.9167,14.13,9.37
Puerto Ayora,80,EC,1633023931,80,-0.7393,-90.3518,76.96,8.99
Turan,20,VN,1633023770,83,16.0678,108.2208,80.65,1.14
Chui,85,UY,1633023932,76,-33.6971,-53.4616,63.52,16.64
Ribeira Grande,20,PT,1633023856,78,38.5167,-28.7,75.6,9.22
Bauchi,73,NG,1633023932,68,10.5,10.0,77.65,2.82
Khatanga,100,RU,1633023856,98,71.9667,102.5,29.77,8.03
Juradó,99,CO,1633023933,80,7.1053,-77.7641,80.92,6.76
Salalah,40,OM,1633023858,83,17.0151,54.0924,82.49,9.22
Faya,89,SA,1633023927,58,18.3851,42.4509,69.91,3.06
Havelock,1,US,1633023933,60,34.8791,-76.9013,79.99,5.01
Kysyl-Syr,19,RU,1633023934,86,63.8986,122.7617,26.4,4.0
Pevek,100,RU,1633023934,88,69.7008,170.3133,27.43,13.76
Narsaq,0,GL,1633023935,33,60.9167,-46.05,39.42,2.55
Praia,40,CV,1633023935,70,14.9215,-23.5087,84.74,14.97
Batagay-Alyta,57,RU,1633023935,80,67.8006,130.4114,16.77,3.2
Kapaa,75,US,1633023691,81,22.0752,-159.319,76.98,3.0
Tiksi,100,RU,1633023936,74,71.6872,128.8694,30.78,4.92
Terrace,90,CA,1633023936,100,54.5163,-128.6035,49.91,18.41
Sinnamary,48,GF,1633023937,69,5.3833,-52.95,84.72,9.37
Lorengau,99,PG,1633023937,80,-2.0226,147.2712,80.83,8.48
Mossamedes,25,AO,1633023937,84,-15.1961,12.1522,62.83,8.79
Yellowknife,90,CA,1633023650,100,62.456,-114.3525,45.41,3.0
Ginda,60,IN,1633023938,96,30.6945,78.4932,63.99,0.43
Talnakh,100,RU,1633023938,98,69.4865,88.3972,31.03,6.78
Yamada,100,JP,1633023939,89,39.4667,141.95,67.75,2.91
Qaanaaq,100,GL,1633023927,74,77.484,-69.3632,26.69,11.25
Kwang Binh,4,VN,1633023939,91,17.4833,106.6,77.14,4.81
Klaksvík,100,FO,1633023940,97,62.2266,-6.589,50.92,27.78
Daru,100,PG,1633023940,89,-9.0763,143.2092,78.28,13.58
College,75,US,1633023872,80,64.8569,-147.8028,26.8,4.61
Maningrida,20,AU,1633023941,85,-12.0667,134.2667,76.33,3.49
Lamar,75,US,1633023941,69,33.6668,-95.5836,87.37,4.61
Tshikapa,100,CD,1633023942,95,-6.4167,20.8,71.46,5.84
Iqaluit,90,CA,1633023942,93,63.7506,-68.5145,31.73,2.3
Sobolevo,79,RU,1633023942,81,54.4299,31.8996,42.03,5.41
Santa Rosa,80,PH,1633023943,85,14.3122,121.1114,80.58,3.18
Castro,32,BR,1633023856,43,-24.7911,-50.0119,80.31,6.93
Kemin,68,KG,1633023943,79,42.7846,75.6892,48.58,1.01
Bethel,75,US,1633023676,63,41.3712,-73.414,63.72,10.36
Bambous Virieux,40,MU,1633023769,78,-20.3428,57.7575,72.21,13.8
Longyan,16,CN,1633023944,93,25.1072,117.0225,73.17,1.3
Visby,75,SE,1633023944,87,57.6409,18.296,54.95,11.5
Port Hardy,75,CA,1633023923,100,50.6996,-127.4199,51.98,0.0
Wawa,80,NG,1633023661,79,9.9022,4.4192,79.21,1.34
Ambon City,75,ID,1633023945,94,-3.6954,128.1814,77.14,5.75
Tasiilaq,2,GL,1633023719,88,65.6145,-37.6368,39.36,10.02
Broome,75,US,1633023946,66,42.2506,-75.833,61.02,1.99
Songea,100,TZ,1633023946,34,-10.6833,35.65,76.12,4.47
Cherskiy,93,RU,1633023947,99,68.75,161.3,9.5,5.21
Rio Grande,89,BR,1633023947,77,-32.035,-52.0986,66.31,24.02
Yulara,0,AU,1633023947,35,-25.2406,130.9889,57.04,4.61
Ibiapina,56,BR,1633023948,41,-3.9233,-40.8894,82.36,6.8
Carupano,42,VE,1633023948,64,10.6678,-63.2585,87.51,10.67
Kumul,53,CN,1633023948,26,42.8,93.45,66.99,9.53
Česká Lípa,72,CZ,1633023949,83,50.6855,14.5376,55.54,1.03
Hithadhoo,24,MV,1633023949,71,-0.6,73.0833,82.27,2.48
Saint George,1,US,1633023697,20,37.1041,-113.5841,72.63,1.01
Quatre Cocos,24,MU,1633023950,79,-20.2078,57.7625,72.09,13.82
Ayagoz,100,KZ,1633023950,36,47.9714,80.4392,51.73,20.67
Charlottesville,20,US,1633023703,47,38.0293,-78.4767,79.09,1.99
Bonavista,100,CA,1633023951,99,48.6499,-53.1147,55.11,9.08
Sabang,100,ID,1633023951,80,5.8933,95.3214,80.51,10.63
Tieling,6,CN,1633023952,77,42.2931,123.8414,55.74,4.09
Campo Largo,65,BR,1633023952,48,-25.4586,-49.5283,67.66,5.75
Sovetskiy,94,RU,1633023952,87,61.3614,63.5842,38.08,11.14
Sola,87,VU,1633023953,81,-13.8833,167.55,79.54,22.7
Cayenne,40,GF,1633023953,79,4.9333,-52.3333,87.84,1.99
Nikolskoye,2,RU,1633023729,85,59.7035,30.7861,45.79,4.59
Ellisras,6,ZA,1633023954,66,-23.6649,27.7443,66.52,12.46
Majene,91,ID,1633023954,89,-3.5403,118.9707,78.82,8.48
Lékoni,100,GA,1633023954,86,-1.5843,14.2591,74.5,2.84
Acajutla,13,SV,1633023927,73,13.5928,-89.8275,91.74,7.67
Lompoc,1,US,1633023955,33,34.6391,-120.4579,87.13,5.75
Qaqortoq,0,GL,1633023956,34,60.7167,-46.0333,39.7,2.15
Takoradze,100,GH,1633023956,86,4.8845,-1.7554,78.04,9.66
Innisfail,54,AU,1633023956,89,-17.5333,146.0333,67.95,2.86
Pierre,90,US,1633023915,55,44.3683,-100.351,64.99,11.5
Meulaboh,100,ID,1633023957,90,4.1363,96.1285,76.5,6.87
Cidreira,84,BR,1633023958,75,-30.1811,-50.2056,66.34,23.89
Elverum,100,NO,1633023958,96,60.8819,11.5623,49.05,5.79
Hakodate,52,JP,1633023958,89,41.7758,140.7367,61.38,4.61
Araouane,35,ML,1633023959,17,18.9048,-3.5265,99.27,8.97
Kruisfontein,100,ZA,1633023959,98,-34.0033,24.7314,59.88,15.59
Assiut,0,EG,1633023960,30,27.181,31.1837,84.38,11.92
St. Pete Beach,9,US,1633023960,52,27.7253,-82.7412,90.23,1.01
Namatanai,77,PG,1633023960,84,-3.6667,152.4333,79.75,7.36
Kashgar,0,CN,1633023961,15,39.4547,75.9797,74.41,11.18
Menongue,62,AO,1633023961,27,-14.6585,17.691,76.51,5.21
Hualmay,46,PE,1633023873,72,-11.0964,-77.6139,68.85,11.63
Mazyr,8,BY,1633023962,73,52.0495,29.2456,44.56,6.78
El Dorado,0,US,1633023962,20,38.7666,-120.5177,76.12,4.29
Lavrentiya,45,RU,1633023963,83,65.5833,-171.0,30.13,14.97
Plouzané,90,FR,1633023963,88,48.3833,-4.6167,60.89,18.41
Mpanda,91,TZ,1633023964,27,-6.3655,31.0409,81.72,3.15
Varlamovo,100,RU,1633023964,68,53.1897,48.4226,46.02,4.23
Mitsamiouli,75,KM,1633023964,94,-11.3847,43.2844,75.49,3.44
Beya,100,RU,1633023965,90,53.0533,90.9139,45.28,3.27
Laguna,1,US,1633023828,38,38.421,-121.4238,81.64,1.01
Nacozari,0,MX,1633023965,50,25.3366,-108.2574,91.11,3.98
Tautira,27,PF,1633023966,77,-17.7333,-149.15,78.82,18.41
Thompson,40,CA,1633023966,67,55.7435,-97.8558,59.16,4.61
Hadsten,97,DK,1633023966,95,56.3282,10.0493,52.54,12.97
Riverton,1,US,1633023967,40,40.5219,-111.9391,65.28,3.0
Perkáta,100,HU,1633023967,68,47.047,18.7873,57.69,3.65
Fort Nelson,90,CA,1633023920,100,58.8053,-122.7002,36.99,4.61
Bandundu Province,100,CD,1633023968,95,-3.3167,17.3667,71.8,2.21
Provideniya,57,RU,1633023968,84,64.3833,-173.3,26.56,11.74
Avarua,5,CK,1633023969,94,-21.2078,-159.775,71.65,2.3
Salé,45,MA,1633023969,78,34.0389,-6.8166,82.42,4.61
Simbahan,90,PH,1633023718,75,6.3032,120.5836,83.1,4.34
El Tigre,63,VE,1633023970,53,8.8875,-64.2454,86.77,6.67
Hīt,0,IQ,1633023970,24,33.6416,42.8251,84.13,8.14
Shache,0,CN,1633023971,15,38.4167,77.2406,71.02,5.21
Sawākin,79,SD,1633023971,56,19.1059,37.3321,85.78,5.21
Santa Cruz de Barahona,20,DO,1633023971,66,18.2085,-71.1008,89.42,11.5
Grand Gaube,6,MU,1633023972,74,-20.0064,57.6608,72.37,5.99
Saldanha,6,ZA,1633023795,80,-33.0117,17.9442,68.05,9.93
Mehamn,75,NO,1633023972,71,71.0357,27.8492,46.35,9.22
Vila Velha,90,BR,1633023973,69,-20.3297,-40.2925,76.95,16.11
Lüderitz,12,NA,1633023973,95,-26.6481,15.1594,56.53,11.3
Pringsewu,52,ID,1633023974,94,-5.3582,104.9744,73.87,5.03
Saint Anthony,1,US,1633023856,60,45.0205,-93.218,82.92,1.01
Corn Island,76,NI,1633023974,76,12.1694,-83.0418,82.18,10.02
Visnes,75,NO,1633023976,87,59.3556,5.2242,56.57,9.22
Geraldton,75,AU,1633023977,77,-28.7667,114.6,64.81,11.5
Ternate,46,ID,1633023977,81,0.8,127.4,80.11,2.91
Juruti,76,BR,1633023978,40,-2.1522,-56.0922,93.96,3.78
Dongsheng,27,CN,1633023978,32,39.8161,109.9776,55.22,4.05
Siyabuswa,9,ZA,1633023979,67,-25.1132,29.0445,65.93,16.06
Pavelets,28,RU,1633023979,79,53.7883,39.246,39.6,4.81
Galesong,31,ID,1633023979,76,-5.3166,119.3661,77.02,2.82
Manta,40,EC,1633023980,74,-0.95,-80.7333,80.38,8.05
Mongu,97,ZM,1633023980,17,-15.2484,23.1274,88.84,3.27
Bilibino,98,RU,1633023981,99,68.0546,166.4372,2.61,2.37
Lebu,62,CL,1633023707,58,-37.6167,-73.65,54.48,11.23
Amparafaravola,1,MG,1633023981,93,-17.5833,48.2167,60.08,6.51
Valparaíso,20,CL,1633023914,58,-33.0393,-71.6273,67.64,11.5
Opuwo,2,NA,1633023982,16,-18.0607,13.84,76.23,13.15
Bathsheba,40,BB,1633023982,89,13.2167,-59.5167,83.01,11.5
Terney,1,RU,1633023983,73,45.0503,136.6092,51.53,7.63
Silver City,90,US,1633023983,87,32.7701,-108.2803,51.91,5.75
Hasaki,100,JP,1633023983,82,35.7333,140.8333,68.4,12.8
Alofi,80,NU,1633023984,88,-19.0595,-169.9187,73.29,10.36
Belmonte,34,BR,1633023984,62,-15.8631,-38.8828,82.9,10.92
Amapá,27,BR,1633023984,30,1.0,-52.0,96.96,4.0
Jalu,31,LY,1633023772,39,29.0331,21.5482,85.12,8.75
Carutapera,66,BR,1633023985,66,-1.195,-46.02,84.76,6.71
Hambantota,100,LK,1633023985,76,6.1241,81.1185,80.56,7.83
Paraná,99,AR,1633023799,72,-31.732,-60.5238,78.3,4.12
Kaeo,81,NZ,1633023986,93,-35.1,173.7833,53.33,5.44
Kahului,40,US,1633023986,89,20.8947,-156.47,75.22,10.36
Dikson,100,RU,1633023987,84,73.5069,80.5464,33.73,24.0
Lima,20,PE,1633023739,93,-12.0432,-77.0282,69.13,1.01
Hofn,100,IS,1633023987,84,64.2539,-15.2082,43.88,24.9
Byron Bay,100,AU,1633023988,90,-28.65,153.6167,65.05,13.8
Parakou,95,BJ,1633023988,86,9.3372,2.6303,75.83,2.44
Perivoli,3,GR,1633023988,69,39.4206,20.0147,71.15,6.69
Garden City,75,US,1633023542,48,42.3256,-83.331,73.18,5.75
La Santisima Trinidad,40,BO,1633023989,49,-14.8333,-64.9,94.98,16.11
Rawson,6,AR,1633023989,24,-43.3002,-65.1023,66.09,24.87
Maidenhead,90,GB,1633023990,83,51.5228,-0.7199,59.94,11.99
Puerto Colombia,60,CO,1633023990,73,10.9878,-74.9547,87.89,5.59
Saint-Augustin,100,CA,1633023990,90,51.226,-58.6502,43.95,25.52
Linxia Chengguanzhen,64,CN,1633023991,46,35.6003,103.2064,57.09,3.0
Porbandar,100,IN,1633023991,88,21.6422,69.6093,80.6,17.18
Huarmey,46,PE,1633023991,73,-10.0681,-78.1522,69.93,13.38
Kondinskoye,100,RU,1633023992,97,59.6481,67.41,38.68,9.62
Itarema,15,BR,1633023710,62,-2.9248,-39.9167,85.84,18.95
Makīnsk,98,KZ,1633023992,90,52.6292,70.4169,31.71,9.24
Otane,16,NZ,1633023993,96,-39.8833,176.6333,38.01,2.44
Khovd,87,MN,1633023993,41,48.0056,91.6419,45.32,5.75
Bengkulu,98,ID,1633023994,87,-3.8004,102.2655,75.49,3.24
Palmer,90,US,1633023994,57,42.1584,-72.3287,62.49,1.01
San Cristobal,86,VE,1633023994,66,7.7669,-72.225,77.18,4.05
Nanjing,0,CN,1633023702,75,32.0617,118.7778,70.77,3.06
Champasak,56,LA,1633023995,99,14.75,106.0,73.76,1.39
Dudinka,99,RU,1633023995,98,69.4058,86.1778,29.64,6.42
Finschhafen,94,PG,1633023996,83,-6.6024,147.8681,78.69,8.79
Kedrovyy,93,RU,1633023996,95,56.1667,91.8167,39.61,4.09
